Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL,CVF URL,Arxiv URL
78,,"computational photography, face and gesture, and vision for x",Christos Sagonas;Yannis Panagakis;Stefanos Zafeiriou;Maja Pantic;,Imperial College London;University of Twente;,United Kingdom;Netherlands;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Sagonas_Robust_Statistical_Face_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Sagonas_Robust_Statistical_Face_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Sagonas_Robust_Statistical_Face_ICCV_2015_paper.html,
79,,"computational photography, face and gesture, and vision for x",Ang Li;Vlad Morariu;Larry S. Davis;,University of Maryland;,United States;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Li_Selective_Encoding_for_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Li_Selective_Encoding_for_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Li_Selective_Encoding_for_ICCV_2015_paper.html,
80,,"computational photography, face and gesture, and vision for x",Michael Hirsch;Bernhard Scholkopf;,Max Planck Institute for Intelligent Systems;,Germany;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Hirsch_Self-Calibration_of_Optical_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Hirsch_Self-Calibration_of_Optical_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Hirsch_Self-Calibration_of_Optical_ICCV_2015_paper.html,
81,,"computational photography, face and gesture, and vision for x",Yinqiang Zheng;Ying Fu;Antony Lam;Imari Sato;Yoichi Sato;,National Institute of Informatics;University of Tokyo;Saitama University;,Japan;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Zheng_Separating_Fluorescent_and_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Zheng_Separating_Fluorescent_and_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Zheng_Separating_Fluorescent_and_ICCV_2015_paper.html,
82,,"computational photography, face and gesture, and vision for x",Jiwen Lu;Venice Erin Liong;Jie Zhou;,,,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Lu_Simultaneous_Local_Binary_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Lu_Simultaneous_Local_Binary_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Lu_Simultaneous_Local_Binary_ICCV_2015_paper.html,
83,,"computational photography, face and gesture, and vision for x",Lingfei Meng;Liyang Lu;Noah Bedard;Kathrin Berkner;,Ricoh Innovations;Rice University;,United States;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Meng_Single-Shot_Specular_Surface_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Meng_Single-Shot_Specular_Surface_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Meng_Single-Shot_Specular_Surface_ICCV_2015_paper.html,
84,,"computational photography, face and gesture, and vision for x",Dinghuang Ji;Enrique Dunn;Jan-Michael Frahm;,University of North Carolina at Chapel Hill;,United States;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Ji_Synthesizing_Illumination_Mosaics_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Ji_Synthesizing_Illumination_Mosaics_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Ji_Synthesizing_Illumination_Mosaics_ICCV_2015_paper.html,
85,,"computational photography, face and gesture, and vision for x",Yichao Xu;Hajime Nagahara;Atsushi Shimada;Rin-ichiro Taniguchi;,Kyushu University;,Japan;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Xu_TransCut_Transparent_Object_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Xu_TransCut_Transparent_Object_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Xu_TransCut_Transparent_Object_ICCV_2015_paper.html,
86,,"computational photography, face and gesture, and vision for x",Yan Li;Ruiping Wang;Haomiao Liu;Huajie Jiang;Shiguang Shan;Xilin Chen;,,,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Li_Two_Birds_One_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Li_Two_Birds_One_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Li_Two_Birds_One_ICCV_2015_paper.html,
87,,"computational photography, face and gesture, and vision for x",Gregory Rogez;James S. Supancic III;Deva Ramanan;,"INRIA;University of California, Irvine;Carnegie Mellon University;",France;United States;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Rogez_Understanding_Everyday_Hands_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Rogez_Understanding_Everyday_Hands_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Rogez_Understanding_Everyday_Hands_ICCV_2015_paper.html,
88,,"computational photography, face and gesture, and vision for x",Supasorn Suwajanakorn;Steven M. Seitz;Ira Kemelmacher-Shlizerman;,,,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Suwajanakorn_What_Makes_Tom_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Suwajanakorn_What_Makes_Tom_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Suwajanakorn_What_Makes_Tom_ICCV_2015_paper.html,
89,,"computational photography, face and gesture, and vision for x",Scott Workman;Richard Souvenir;Nathan Jacobs;,University of Kentucky;University of North Carolina at Charlotte;,United States;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Workman_Wide-Area_Image_Geolocalization_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Workman_Wide-Area_Image_Geolocalization_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Workman_Wide-Area_Image_Geolocalization_ICCV_2015_paper.html,
