Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
58,Adversarial Nonnegative Matrix Factorization,,Lei Luo;Yanfu Zhang;Heng Huang;,JD;University of Pittsburgh;,Poster,,http://proceedings.mlr.press/v119/luo20c/luo20c.pdf
59,Adversarial Risk via Optimal Transport and Optimal Couplings,,Muni Sreenivas Pydi;Varun Jog;,University of Wisconsin-Madison;,Poster,,http://proceedings.mlr.press/v119/pydi20a/pydi20a.pdf
60,Adversarial Robustness Against the Union of Multiple Perturbation Models,,Pratyush Maini;Eric Wong;Zico Kolter;,Indian Institute of Technology Delhi;Carnegie Mellon University;Bosch Center for Arti?cial Intelligence;,Poster,,http://proceedings.mlr.press/v119/maini20a/maini20a.pdf
61,Adversarial Robustness for Code,,Pavol Bielik;Martin Vechev;,ETH Zurich;,Poster,,http://proceedings.mlr.press/v119/bielik20a/bielik20a.pdf
62,Adversarial Robustness via Runtime Masking and Cleansing,,Yi-Hsuan Wu;Chia-Hung Yuan;Shan-Hung Wu;,National Tsing Hua University;,Poster,,http://proceedings.mlr.press/v119/wu20f/wu20f.pdf
63,Agent57: Outperforming the Atari Human Benchmark,,Adrià Puigdomènech Badia;Bilal Piot;Steven Kapturowski;Pablo Sprechmann;Alex Vitvitskyi;Zhaohan Daniel Guo;Charles Blundell;,DeepMind;,Poster,,http://proceedings.mlr.press/v119/badia20a/badia20a.pdf
64,Aggregation of Multiple Knockoffs,,Tuan-Binh Nguyen;Jerome-Alexis Chevalier;Bertrand Thirion;Sylvain Arlot;,Université Paris-Saclay;INRIA;,Poster,,http://proceedings.mlr.press/v119/nguyen20a/nguyen20a.pdf
65,Aligned Cross Entropy for Non-Autoregressive Machine Translation,,Marjan Ghazvininejad;Vladimir Karpukhin;Luke Zettlemoyer;Omer Levy;,Meta;,Poster,,http://proceedings.mlr.press/v119/ghazvininejad20a/ghazvininejad20a.pdf
66,All in the Exponential Family: Bregman Duality in Thermodynamic Variational Inference,,Rob Brekelmans;Vaden Masrani;Frank Wood;Greg Ver Steeg;Aram Galstyan;,University of Southern California;University of British Columbia;,Poster,,http://proceedings.mlr.press/v119/brekelmans20a/brekelmans20a.pdf
67,Alleviating Privacy Attacks via Causal Learning,,Shruti Tople;Amit Sharma;Aditya Nori;,Microsoft;,Poster,,http://proceedings.mlr.press/v119/tople20a/tople20a.pdf
68,Almost Tune-Free Variance Reduction,,Bingcong Li;Lingda Wang;Georgios B. Giannakis;,University of Minnesota;University of Illinois Urbana-Champaign;,Poster,,http://proceedings.mlr.press/v119/li20n/li20n.pdf
69,Amortised Learning by Wake-Sleep,,Li Wenliang;Theodore Moskovitz;Heishiro Kanagawa;Maneesh Sahani;,University College London;,Poster,,http://proceedings.mlr.press/v119/wenliang20a/wenliang20a.pdf
70,Amortized Finite Element Analysis for Fast PDE-Constrained Optimization,,Tianju Xue;Alex Beatson;Sigrid Adriaenssens;Ryan Adams;,Princeton University;,Poster,,http://proceedings.mlr.press/v119/xue20a/xue20a.pdf
71,Amortized Population Gibbs Samplers with Neural Sufficient Statistics,,Hao Wu;Heiko Zimmermann;Eli Sennesh;Tuan Anh Le;Jan-Willem Van De Meent;,Northeastern University;Massachusetts Institute of Technology;,Poster,,http://proceedings.mlr.press/v119/wu20h/wu20h.pdf
72,An Accelerated DFO Algorithm for Finite-sum Convex Functions,,Yuwen Chen;Antonio Orvieto;Aurelien Lucchi;,ETH Zurich;,Poster,,http://proceedings.mlr.press/v119/chen20r/chen20r.pdf
73,An EM Approach to Non-autoregressive Conditional Sequence Generation,,Zhiqing Sun;Yiming Yang;,Carnegie Mellon University;,Poster,,http://proceedings.mlr.press/v119/sun20c/sun20c.pdf
74,An end-to-end approach for the verification problem: learning the right distance,,Joao Monteiro;Isabela Albuquerque;Jahangir Alam;R Devon Hjelm;Tiago Falk;,Université du Québec;Centre de Recherche Informatique de Montréal;Microsoft;Université de Montréal;,Poster,,http://proceedings.mlr.press/v119/monteiro20a/monteiro20a.pdf
75,An end-to-end Differentially Private Latent Dirichlet Allocation Using a Spectral Algorithm,,Chris Decarolis;Mukul Ram;Seyed Esmaeili;Yu-Xiang Wang;Furong Huang;,"University of Maryland;University of California, Santa Barbara;",Poster,,http://proceedings.mlr.press/v119/decarolis20a/decarolis20a.pdf
76,An Explicitly Relational Neural Network Architecture,,Murray Shanahan;Kyriacos Nikiforou;Antonia Creswell;Christos Kaplanis;David Barrett;Marta Garnelo;,DeepMind;Imperial College London;,Poster,,http://proceedings.mlr.press/v119/shanahan20a/shanahan20a.pdf
