Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL,CVF URL,Arxiv URL
1144,TEMP: Taxonomy Expansion with Dynamic Margin Loss through Taxonomy-Paths,,Zichen Liu;Hongyuan Xu;Yanlong Wen;Ning Jiang;HaiYing Wu;Xiaojie Yuan;,Nankai University;Mashang Consumer Finance;,China;,Main,https://aclanthology.org/2021.emnlp-main.313/,https://aclanthology.org/2021.emnlp-main.313.pdf,,
1145,Temporal Adaptation of BERT and Performance on Downstream Document Classification: Insights from Social Media,,Paul Röttger;Janet Pierrehumbert;,University of Oxford;,United Kingdom;,finding,https://aclanthology.org/2021.findings-emnlp.206/,https://aclanthology.org/2021.findings-emnlp.206.pdf,,
1146,Text AutoAugment: Learning Compositional Augmentation Policy for Text Classification,,Shuhuai Ren;Jinchao Zhang;Lei Li;Xu Sun;Jie Zhou;,Peking University;Tencent;,China;,Main,https://aclanthology.org/2021.emnlp-main.711/,https://aclanthology.org/2021.emnlp-main.711.pdf,,
1147,Text Counterfactuals via Latent Optimization and Shapley-Guided Search,,Xiaoli Fern;Quintin Pope;,Electrical Engineering and Computer Science;,,Main,https://aclanthology.org/2021.emnlp-main.452/,https://aclanthology.org/2021.emnlp-main.452.pdf,,
1148,Text Detoxification using Large Pre-trained Neural Models,,David Dale;Anton Voronov;Daryna Dementieva;Varvara Logacheva;Olga Kozlova;Nikita Semenov;Alexander Panchenko;,Skolkovo Institute of Science and Technology;Mobile TeleSystems;,Russian Federation;,Main,https://aclanthology.org/2021.emnlp-main.629/,https://aclanthology.org/2021.emnlp-main.629.pdf,,
1149,Text2Mol: Cross-Modal Molecule Retrieval with Natural Language Queries,,Carl Edwards;ChengXiang Zhai;Heng Ji;,University of Illinois Urbana-Champaign;,United States;,Main,https://aclanthology.org/2021.emnlp-main.47/,https://aclanthology.org/2021.emnlp-main.47.pdf,,
1150,Textual Time Travel: A Temporally Informed Approach to Theory of Mind,,Akshatha Arodi;Jackie Chi Kit Cheung;,McGill University;,Canada;,finding,https://aclanthology.org/2021.findings-emnlp.351/,https://aclanthology.org/2021.findings-emnlp.351.pdf,,
1151,The Devil is in the Detail: Simple Tricks Improve Systematic Generalization of Transformers,,Róbert Csordás;Kazuki Irie;Juergen Schmidhuber;,Swiss AI Lab IDSIA;,Switzerland;,Main,https://aclanthology.org/2021.emnlp-main.49/,https://aclanthology.org/2021.emnlp-main.49.pdf,,
1152,The Effect of Efficient Messaging and Input Variability on Neural-Agent Iterated Language Learning,,Yuchen Lian;Arianna Bisazza;Tessa Verhoef;,Xi'an Jiao Tong University;Leiden University;University of Groningen;,China;Netherlands;,Main,https://aclanthology.org/2021.emnlp-main.794/,https://aclanthology.org/2021.emnlp-main.794.pdf,,
1153,The Effect of Round-Trip Translation on Fairness in Sentiment Analysis,,Jonathan Gabel Christiansen;Mathias Gammelgaard;Anders Søgaard;,University of Copenhagen;,Denmark;,Main,https://aclanthology.org/2021.emnlp-main.363/,https://aclanthology.org/2021.emnlp-main.363.pdf,,
1154,The Future is not One-dimensional: Complex Event Schema Induction by Graph Modeling for Event Prediction,,Manling Li;Sha Li;Zhenhailong Wang;Lifu Huang;Kyunghyun Cho;Heng Ji;Jiawei Han;Clare Voss;,University of Illinois Urbana-Champaign;Virginia Tech;New York University;U.S. Army Research Laboratory;,United States;,Main,https://aclanthology.org/2021.emnlp-main.422/,https://aclanthology.org/2021.emnlp-main.422.pdf,,
1155,The Impact of Positional Encodings on Multilingual Compression,,Vinit Ravishankar;Anders Søgaard;,University of Oslo;University of Copenhagen;,Norway;Denmark;,Main,https://aclanthology.org/2021.emnlp-main.59/,https://aclanthology.org/2021.emnlp-main.59.pdf,,
