Index,Title,Authors,Affiliation,Status,Link
53,Bayesian active learning with localized priors for fast receptive field characterization,"Mijung Park, Jonathan W. Pillow",University of Texas at Austin,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/4588e674d3f0faf985047d4c3f13ed0d-Abstract.html
54,Bayesian estimation of discrete entropy with mixtures of stick-breaking priors,"Evan Archer, Ill Memming Park, Jonathan W. Pillow",Institute for Computational and Engineering Sciences; Center for Perceptual Systems; University Affiliation Not Specified; University of Texas at Austin,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/0b8aff0438617c055eb55f0ba5d226fa-Abstract.html
55,Bayesian Hierarchical Reinforcement Learning,"Feng Cao, Soumya Ray",Case Western Reserve University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/642e92efb79421734881b53e1e1b18b6-Abstract.html
56,Bayesian models for Large-scale Hierarchical Classification,"Siddharth Gopal, Yiming Yang, Bing Bai, Alexandru Niculescu-mizil",Carnegie Mellon University; NEC Laboratories America,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/a3fb4fbf9a6f9cf09166aa9c20cbc1ad-Abstract.html
57,Bayesian Nonparametric Modeling of Suicide Attempts,"Francisco Ruiz, Isabel Valera, Carlos Blanco, Fernando Pérez-Cruz",Carlos III University of Madrid; Columbia University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/430c3626b879b4005d41b8a46172e0c0-Abstract.html
58,Bayesian nonparametric models for bipartite graphs,Francois Caron,,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/0768281a05da9f27df178b5c39a51263-Abstract.html
59,Bayesian nonparametric models for ranked data,"Francois Caron, Yee W. Teh",INRIA; University Affiliation Not Specified,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/7f1171a78ce0780a2142a6eb7bc4f3c8-Abstract.html
60,Bayesian Pedigree Analysis using Measure Factorization,"Bonnie Kirkpatrick, Alexandre Bouchard-côté",University of British Columbia,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/dfd7468ac613286cdbb40872c8ef3b06-Abstract.html
61,Bayesian Probabilistic Co-Subspace Addition,Lei Shi,Baidu,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/9f396fe44e7c05c16873b05ec425cbad-Abstract.html
62,Bayesian Warped Gaussian Processes,Miguel Lázaro-Gredilla,Universidad Carlos III de Madrid,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/d840cc5d906c3e9c84374c8919d2074e-Abstract.html
