Index,Title,Authors,Affiliation,Status,Link
84,Accelerating Reinforcement Learning through GPU Atari Emulation,"Steven Dalton, iuri frosio",NVIDIA,Poster,https://nips.cc/virtual/2020/poster/18879
85,Accelerating Training of Transformer-Based Language Models with Progressive Layer Dropping,"Minjia Zhang, Yuxiong He",Microsoft,Poster,https://nips.cc/virtual/2020/poster/16943
86,Acceleration with a Ball Optimization Oracle,"Yair Carmon, Arun Jambulapati, Qijia Jiang, Yujia Jin, Yin Tat Lee, Aaron Sidford, Kevin Tian",Stanford University; University of Washington,Oral,https://nips.cc/virtual/2020/poster/18117
87,Achieving Equalized Odds by Resampling Sensitive Attributes,"Yaniv Romano, Stephen Bates, Emmanuel Candes",Stanford University,Poster,https://nips.cc/virtual/2020/poster/17550
88,Active Invariant Causal Prediction: Experiment Selection through Stability,"Juan L. Gamella, Christina Heinze-Deml",ETH Zurich,Poster,https://nips.cc/virtual/2020/poster/17022
89,Active Structure Learning of Causal DAGs via Directed Clique Trees,"Chandler Squires, Sara Magliacane, Kristjan Greenewald, Dmitriy Katz, Murat Kocaoglu, Karthikeyan Shanmugam",Massachusetts Institute of Technology; IBM,Poster,https://nips.cc/virtual/2020/poster/18813
90,AdaBelief Optimizer: Adapting Stepsizes by the Belief in Observed Gradients,"Juntang Zhuang, Tommy Tang, Yifan Ding, Sekhar C Tatikonda, Nicha Dvornek, Xenophon Papademetris, James Duncan",Yale University; University of Illinois Urbana-Champaign; University of Central Florida,Spotlight,https://nips.cc/virtual/2020/poster/16809
91,Adam with Bandit Sampling for Deep Learning,"Rui Liu, Tianyi Wu, Barzan Mozafari",University of Michigan,Spotlight,https://nips.cc/virtual/2020/poster/18411
92,Adaptation Properties Allow Identification of Optimized Neural Codes,"Luke Rast, Jan Drugowitsch",Harvard University; Harvard Medical School,Poster,https://nips.cc/virtual/2020/poster/18987
93,Adapting Neural Architectures Between Domains,"Yanxi Li, Zhaohui Yang, Yunhe Wang, Chang Xu",University of Sydney; Huawei; Peking University,Poster,https://nips.cc/virtual/2020/poster/17241
94,Adapting to Misspecification in Contextual Bandits,"Dylan J Foster, Claudio Gentile, Mehryar Mohri, Julian Zimmert",Massachusetts Institute of Technology; Google; Courant Institute of Mathematical Sciences,Poster,https://nips.cc/virtual/2020/poster/19020
95,Adaptive Discretization for Model-Based Reinforcement Learning,"Sean Sinclair, Tianyu Wang, Gauri Jain, Siddhartha Banerjee, Christina Yu",Cornell University; Duke University,Poster,https://nips.cc/virtual/2020/poster/18943
96,Adaptive Experimental Design with Temporal Interference: A Maximum Likelihood Approach,"Peter W. Glynn, Ramesh Johari, Mohammad Rasouli",Stanford University,Poster,https://nips.cc/virtual/2020/poster/17926
97,Adaptive Gradient Quantization for Data-Parallel SGD,"Fartash Faghri, Iman Tabrizian, Ilia Markov, Dan Alistarh, Daniel M. Roy, Ali Ramezani-Kebrya",University of Toronto; Vector Institute; Institute of Science and Technology Austria; NeuralMagic,Poster,https://nips.cc/virtual/2020/poster/16956
