番号,title,status,decision_raw,rating,all_ratings,authors,href
3778,Color-Oriented Redundancy Reduction in Dataset Distillation,poster,Accept (poster),5.75,"[6, 7, 5, 5]","Bowen Yuan, Zijian Wang, Mahsa Baktashmotlagh, Yadan Luo, Zi Huang",https://openreview.net/forum?id=yfQwyxiSJ7
5311,Learning 3D Garment Animation from Trajectories of A Piece of Cloth,poster,Accept (poster),4.8,"[4, 6, 5, 5, 4]","Yidi Shao, Chen Change Loy, Bo Dai",https://openreview.net/forum?id=yeFx5NQmr7
11663,Policy Aggregation,poster,Accept (poster),6.33,"[6, 6, 7]","Parand A. Alamdari, Soroush Ebadian, Ariel D. Procaccia",https://openreview.net/forum?id=ybiUVIxJth
6940,Auditing Local Explanations is Hard,poster,Accept (poster),6.0,"[7, 4, 6, 7]","Robi Bhattacharjee, Ulrike von Luxburg",https://openreview.net/forum?id=ybMrn4tdn0
10012,Predicting Ground State Properties: Constant Sample Complexity and Deep Learning Algorithms,poster,Accept (poster),5.33,"[5, 7, 3, 5, 5, 7]","Marc Wanner, Laura Lewis, Chiranjib Bhattacharyya, Devdatt Dubhashi, Alexandru Gheorghiu",https://openreview.net/forum?id=ybLXvqJyQA
3523,Large Spatial Model: End-to-end Unposed Images to Semantic 3D,poster,Accept (poster),5.75,"[7, 5, 6, 5]","Zhiwen Fan, Jian Zhang, Wenyan Cong, Peihao Wang, Renjie Li, Kairun Wen, Shijie Zhou, Achuta Kadambi, Zhangyang Wang, Danfei Xu, Boris Ivanovic, Marco Pavone, Yue Wang",https://openreview.net/forum?id=ybHPzL7eYT
19134,Metalearning to Continually Learn In Context,reject,Reject,5.0,"[5, 5, 5, 5]","Kazuki Irie, Róbert Csordás, Jürgen Schmidhuber",https://openreview.net/forum?id=yaYJlpidX1
390,Binarized Diffusion Model for Image Super-Resolution,poster,Accept (poster),6.5,"[6, 8, 7, 5]","Zheng Chen, Haotong Qin, Yong Guo, Xiongfei Su, Xin Yuan, Linghe Kong, Yulun Zhang",https://openreview.net/forum?id=yXpfrLMIr2
11170,Controlled maximal variability along with reliable performance in recurrent neural networks,poster,Accept (poster),6.25,"[7, 5, 6, 7]","Chiara Mastrogiuseppe, Rubén Moreno-Bote",https://openreview.net/forum?id=yXW2dCTQdi
12156,User-Creator Feature Polarization in Recommender Systems with Dual Influence,poster,Accept (poster),6.67,"[7, 7, 6]","Tao Lin, Kun Jin, Andrew Estornell, Xiaoying Zhang, Yiling Chen, Yang Liu",https://openreview.net/forum?id=yWq89o19wf
8092,Is Mamba Compatible with Trajectory Optimization in Offline Reinforcement Learning?,poster,Accept (poster),5.67,"[6, 6, 5]","Yang Dai, Oubo Ma, Longfei Zhang, Xingxing Liang, Shengchao Hu, Mengzhu Wang, Shouling Ji, Jincai Huang, Li Shen",https://openreview.net/forum?id=yWSxjlFsmX
21092,Accelerating ERM for data-driven algorithm design using output-sensitive techniques,poster,Accept (poster),6.0,"[5, 6, 7]","Maria Florina Balcan, Christopher Seiler, Dravyansh Sharma",https://openreview.net/forum?id=yW3tlSwusb
10416,Excluding the Irrelevant: Focusing Reinforcement Learning through Continuous Action Masking,poster,Accept (poster),5.75,"[6, 5, 6, 6]","Roland Stolz, Hanna Krasowski, Jakob Thumm, Michael Eichelbeck, Philipp Gassert, Matthias Althoff",https://openreview.net/forum?id=yVzWlFhpRW
5479,MAmmoTH2: Scaling Instructions from the Web,poster,Accept (poster),6.75,"[8, 5, 7, 7]","Xiang Yue, Tianyu Zheng, Ge Zhang, Wenhu Chen",https://openreview.net/forum?id=yVu5dnPlqA
18272,Class Distribution Shifts in Zero-Shot Learning: Learning Robust Representations,poster,Accept (poster),6.5,"[7, 7, 6, 6]","Yuli Slavutsky, Yuval Benjamini",https://openreview.net/forum?id=yUqUBGioBG
15656,Learning Bregman Divergences with Application to Robustness,poster,Accept (poster),5.33,"[7, 4, 5]","Mohamed-Hicham LEGHETTAS, Markus Püschel",https://openreview.net/forum?id=yUckuDjAE0
11294,Temporally Consistent Atmospheric Turbulence Mitigation with Neural Representations,poster,Accept (poster),5.0,"[4, 5, 5, 6]","Haoming Cai, Jingxi Chen, Brandon Y. Feng, Weiyun Jiang, Mingyang Xie, Kevin Zhang, Cornelia Fermuller, Yiannis Aloimonos, Ashok Veeraraghavan, Christopher Metzler",https://openreview.net/forum?id=yURca4wi2L
13703,Aligning Large Language Models with Representation Editing: A Control Perspective,poster,Accept (poster),6.5,"[7, 6, 5, 8]","Lingkai Kong, Haorui Wang, Wenhao Mu, Yuanqi Du, Yuchen Zhuang, Yifei Zhou, Yue Song, Rongzhi Zhang, Kai Wang, Chao Zhang",https://openreview.net/forum?id=yTTomSJsSW
15431,Exogenous Matching: Learning Good Proposals for Tractable Counterfactual Estimation,poster,Accept (poster),5.75,"[6, 5, 5, 7]","Yikang Chen, Dehui du, Lili Tian",https://openreview.net/forum?id=yS9xU6ANiA
8111,$SE(3)$ Equivariant Ray Embeddings for Implicit Multi-View Depth Estimation,poster,Accept (poster),6.33,"[6, 7, 6]","Yinshuang Xu, Dian Chen, Katherine Liu, Sergey Zakharov, Rares Andrei Ambrus, Kostas Daniilidis, Vitor Campagnolo Guizilini",https://openreview.net/forum?id=yRuJqoWoCs
11023,Diffusion-based Curriculum Reinforcement Learning,poster,Accept (poster),6.0,"[6, 5, 7, 6]","Erdi Sayar, Giovanni Iacca, Ozgur S. Oguz, Alois Knoll",https://openreview.net/forum?id=yRhrVaDOWE
