Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL
938,Discovering Fully Oriented Causal Networks,Machine Learning III,Osman A Mian;Alexander Marx;Jilles Vreeken;,CISPA Helmholtz Center for Information Security;,Germany;,Technical,https://aaai.org/papers/08975-discovering-fully-oriented-causal-networks/,https://cdn.aaai.org/ojs/17085/17085-13-20579-1-2-20210518.pdf
939,Disentangled Information Bottleneck,Machine Learning III,Ziqi Pan;Li Niu;Jianfu Zhang;Liqing Zhang;,Shanghai Jiao Tong University;,China;,Technical,https://aaai.org/papers/09285-disentangled-information-bottleneck/,https://cdn.aaai.org/ojs/17120/17120-13-20614-1-2-20210518.pdf
940,Distributional Reinforcement Learning via Moment Matching,Machine Learning III,Thanh Nguyen-Tang;Sunil Gupta;Svetha Venkatesh;,Deakin University;,Australia;,Technical,https://aaai.org/papers/09144-distributional-reinforcement-learning-via-moment-matching/,https://cdn.aaai.org/ojs/17104/17104-13-20598-1-2-20210518.pdf
941,Doubly Residual Neural Decoder: Towards Low-Complexity High-Performance Channel Decoding,Machine Learning III,Siyu Liao;Chunhua Deng;Miao Yin;Bo Yuan;,Rutgers University;,United States;,Technical,https://aaai.org/papers/08574-doubly-residual-neural-decoder-towards-low-complexity-high-performance-channel-decoding/,https://cdn.aaai.org/ojs/17040/17040-13-20534-1-2-20210518.pdf
942,Dynamically Grown Generative Adversarial Networks,Machine Learning III,Lanlan Liu;Yuting Zhang;Jia Deng;Stefano Soatto;,University of Michigan;Amazon;Princeton University;,United States;,Technical,https://aaai.org/papers/08680-dynamically-grown-generative-adversarial-networks/,https://cdn.aaai.org/ojs/17052/17052-13-20546-1-2-20210518.pdf
943,Elastic Consistency: A Practical Consistency Model for Distributed Stochastic Gradient Descent,Machine Learning III,Giorgi Nadiradze;Ilia Markov;Bapi Chatterjee;Vyacheslav Kungurtsev;Dan Alistarh;,Institute of Science and Technology Austria;Czech Technical University;,Austria;Czech Republic;,Technical,https://aaai.org/papers/09037-elastic-consistency-a-practical-consistency-model-for-distributed-stochastic-gradient-descent/,https://cdn.aaai.org/ojs/17092/17092-13-20586-1-2-20210518.pdf
944,Exacerbating Algorithmic Bias through Fairness Attacks,Machine Learning III,Ninareh Mehrabi;Muhammad Naveed;Fred Morstatter;Aram Galstyan;,University of Southern California;,United States;,Technical,https://aaai.org/papers/08930-exacerbating-algorithmic-bias-through-fairness-attacks/,https://cdn.aaai.org/ojs/17080/17080-13-20574-1-2-20210518.pdf
945,Exact Reduction of Huge Action Spaces in General Reinforcement Learning,Machine Learning III,Sultan J. Majeed;Marcus Hutter;,Australian National University;Google;,Australia;United Kingdom;,Technical,https://aaai.org/papers/08874-exact-reduction-of-huge-action-spaces-in-general-reinforcement-learning/,https://cdn.aaai.org/ojs/17074/17074-13-20568-1-2-20210518.pdf
946,Fast PCA in 1-D Wasserstein Spaces via B-splines Representation and Metric Projection,Machine Learning III,Matteo Pegoraro;Mario Beraha;,Politecnico di Milano;Università di Bologna;,Italy;,Technical,https://aaai.org/papers/09342-fast-pca-in-1-d-wasserstein-spaces-via-b-splines-representation-and-metric-projection/,https://cdn.aaai.org/ojs/17126/17126-13-20620-1-2-20210518.pdf
947,FC-GAGA: Fully Connected Gated Graph Architecture for Spatio-Temporal Traffic Forecasting,Machine Learning III,Boris  N. Oreshkin;Arezou Amini;Lucy Coyle;Mark Coates;,Unity Technologies;McGill University;,United States;Canada;,Technical,https://aaai.org/papers/09233-fc-gaga-fully-connected-gated-graph-architecture-for-spatio-temporal-traffic-forecasting/,https://cdn.aaai.org/ojs/17114/17114-13-20608-1-2-20210518.pdf
948,FLAME: Differentially Private Federated Learning in the Shuffle Model,Machine Learning III,Ruixuan Liu;Yang Cao;Hong Chen;Ruoyang Guo;Masatoshi Yoshikawa;,Renmin University of China;Kyoto University;,China;Japan;,Technical,https://aaai.org/papers/08688-flame-differentially-private-federated-learning-in-the-shuffle-model/,https://cdn.aaai.org/ojs/17053/17053-13-20547-1-2-20210518.pdf
949,From Label Smoothing to Label Relaxation,Machine Learning III,Julian Lienen;Eyke Hüllermeier;,Paderborn University;,Germany;,Technical,https://aaai.org/papers/08583-from-label-smoothing-to-label-relaxation/,https://cdn.aaai.org/ojs/17041/17041-13-20535-1-2-20210518.pdf
950,Game of Gradients: Mitigating Irrelevant Clients in Federated Learning,Machine Learning III,Lokesh Nagalapatti;Ramasuri Narayanam;,Indian Institute of Technology Bombay;IBM;,India;,Technical,https://aaai.org/papers/09046-game-of-gradients-mitigating-irrelevant-clients-in-federated-learning/,https://cdn.aaai.org/ojs/17093/17093-13-20587-1-2-20210518.pdf
